X1	Chr	Position	logR
SNP_A-1881148	19	538487	-0.639
SNP_A-8369407	19	547973	-0.4305
CN_787531	19	548446	-1.3121
CN_789784	19	556150	-1.1934
SNP_A-2079593	19	556632	-0.556
SNP_A-1785183	19	575083	-1.2016
SNP_A-4289846	19	579100	-0.6231
SNP_A-2100084	19	607984	-0.7606
CN_789855	19	626683	-1.1085
CN_789871	19	626969	-1.7252
CN_789882	19	627497	-1.1085
SNP_A-8376681	19	630844	-1.161
CN_794277	19	634032	-1.6611
SNP_A-2300094	19	634095	-0.983
SNP_A-8320019	19	657666	-0.819
CN_776998	19	665896	-1.1085
CN_170672	19	669363	0.2034
SNP_A-2182099	19	675513	-1.5236
CN_783490	19	675533	-1.7606
CN_785641	19	678411	-2.0471
CN_787890	19	684194	-2.0471
CN_787919	19	685216	-1.7112
SNP_A-8439526	19	686181	0.1661
CN_790089	19	702745	-0.7866
CN_790119	19	713229	-0.578
CN_790121	19	713556	-0.1336
CN_792176	19	715430	-0.3903
SNP_A-1784789	19	750173	-1.4166
SNP_A-8528109	19	753950	0.2996
CN_792287	19	756844	-1.2826
CN_171069	19	761789	-0.9565
CN_171075	19	764489	-0.3903
CN_794389	19	772908	-1.594
CN_794415	19	784559	-0.9565
SNP_A-8294326	19	788101	-0.8231
CN_794423	19	791093	-0.971
SNP_A-8432676	19	803086	-0.8261
SNP_A-8414627	19	804396	-1.983
CN_794454	19	807592	-1.6231
CN_794494	19	826420	-1.611
CN_796543	19	827049	-1.2016
SNP_A-8307045	19	827975	-1.4166
SNP_A-8315576	19	865374	-0.5236
SNP_A-4273273	19	865406	-0.7112
SNP_A-4280974	19	880602	-0.5742
SNP_A-2241019	19	881161	-0.009
SNP_A-8309568	19	885818	0.2354
SNP_A-2236793	19	887128	-2.3309
CN_798769	19	887275	-1.1558
CN_798793	19	895638	-0.8131
CN_798794	19	896231	-0.0183
SNP_A-8584781	19	896244	-0.1312
SNP_A-4216130	19	896499	-0.7866
CN_798797	19	896644	-0.6231
CN_798812	19	902060	-1.6528
CN_798817	19	904883	-1.5236
CN_798828	19	909840	-0.2298
SNP_A-8569918	19	916737	-0.6305
CN_800955	19	931521	-1.1865
SNP_A-2223136	19	931523	-1.1085
SNP_A-2039520	19	939673	-2.0381
SNP_A-1903910	19	939697	-2.0679
CN_801010	19	939777	-2.3309
SNP_A-2145232	19	941603	-1.2341
SNP_A-8388002	19	967584	-1.224
CN_768272	19	968486	-0.6528
CN_768273	19	968499	-0.606
CN_768271	19	968591	-1.1807
CN_171415	19	968675	-1.0738
CN_768284	19	970774	-1.4778
CN_768285	19	970958	-1.0471
CN_768318	19	981661	-0.9386
SNP_A-4281680	19	987571	-1.1934
CN_768342	19	988135	-0.5742
SNP_A-8708992	19	988136	-0.5742
CN_768343	19	988246	-0.1674
CN_768347	19	988652	-0.971
CN_768348	19	988812	-0.1085
CN_768349	19	988926	-0.8231
SNP_A-8446527	19	998127	-0.3407
CN_772652	19	999298	-0.4411
CN_772651	19	999329	-0.4361
SNP_A-8546742	19	1013635	-0.6611
SNP_A-8585716	19	1014378	-0.4305
SNP_A-8613806	19	1021726	-0.9524
CN_772725	19	1022137	-0.4622
CN_772724	19	1022404	-1.8811
SNP_A-8424847	19	1022782	-0.4564
SNP_A-8415772	19	1023868	-0.639
CN_772741	19	1025305	-1.9498
CN_772743	19	1025363	-2.246
CN_772742	19	1025541	-2.2605
CN_772768	19	1033200	0.2285
CN_772769	19	1033227	-0.5236
CN_772767	19	1033299	-0.8455
SNP_A-2310640	19	1038223	-1.1934
SNP_A-8714104	19	1054061	-1.6231
CN_778135	19	1056593	-0.2826
CN_778132	19	1056636	-0.983
CN_778133	19	1056838	-1.1756
CN_778134	19	1057061	-0.7646
SNP_A-8400684	19	1057864	-1.0761
SNP_A-8471445	19	1058177	0.0841
SNP_A-8584196	19	1059005	-1.8131
CN_778142	19	1059872	-0.1516
CN_778149	19	1059944	-0.4411
CN_778147	19	1060134	-0.606
CN_778148	19	1060266	-0.4711
SNP_A-8324604	19	1064486	-0.4496
CN_778166	19	1070867	-0.746
CN_778167	19	1070910	-0.3309
SNP_A-8310244	19	1075980	-0.746
SNP_A-8586209	19	1077702	-0.1451
SNP_A-8675136	19	1099702	-1.5825
SNP_A-8592289	19	1100075	-0.9106
CN_163311	19	1101864	0.7984
CN_778242	19	1101950	-0.5742
CN_778243	19	1102077	-0.594
SNP_A-1796491	19	1102212	-1.6231
CN_780296	19	1102606	-1.2784
SNP_A-2303699	19	1102729	-0.9386
SNP_A-2209663	19	1103466	-1.398
CN_780297	19	1103694	-0.9021
CN_780298	19	1103715	-1.009
CN_780299	19	1103802	-1.2154
SNP_A-8396286	19	1107036	-0.1558
SNP_A-2204107	19	1107161	0.1683
CN_780349	19	1118034	-0.9386
CN_780350	19	1118551	-1.5742
CN_780351	19	1118927	-0.5709
SNP_A-8630732	19	1120330	-0.2605
SNP_A-2079472	19	1123379	-1.0326
SNP_A-8711505	19	1123541	-1.2605
SNP_A-1788414	19	1127721	-0.983
CN_780386	19	1130848	-1.2962
CN_163364	19	1130933	-1.2891
CN_780387	19	1130949	-1.5742
SNP_A-8708469	19	1135486	-1.1085
CN_782516	19	1156398	-0.2435
CN_782550	19	1170990	-1.2341
CN_163441	19	1171151	-1.5236
SNP_A-2147278	19	1175397	-0.7252
CN_782601	19	1186534	-0.9021
SNP_A-8612235	19	1189541	-1.5742
SNP_A-8623946	19	1192770	-0.5236
CN_784657	19	1193359	-1.224
CN_784682	19	1201085	-0.5236
CN_784691	19	1204475	-1.1085
CN_784692	19	1204594	-1.7606
CN_784709	19	1210607	-0.2756
CN_784710	19	1210939	0.3984
CN_163534	19	1228278	-2.0471
CN_784782	19	1228293	-2.4622
CN_784783	19	1228302	-2.5236
CN_784784	19	1228397	-1.4305
CN_786893	19	1246659	-1.5236
CN_786895	19	1247836	-0.8928
CN_786952	19	1264440	-1.6528
SNP_A-8314765	19	1271275	-0.983
SNP_A-8308871	19	1271530	-1.3601
SNP_A-8631173	19	1272041	-1.639
CN_789052	19	1280588	-1.3815
CN_163623	19	1280660	-1.0541
SNP_A-8478249	19	1283189	-0.7675
SNP_A-8547306	19	1302966	-0.2154
CN_791216	19	1307729	-0.7162
SNP_A-1894698	19	1310137	-0.3903
CN_791243	19	1317804	-1.1516
CN_791244	19	1317959	-1.3861
CN_791245	19	1318010	-1.5592
CN_791252	19	1319333	-0.6935
SNP_A-8462095	19	1329640	-1.4829
CN_791288	19	1334748	-1.4305
CN_791299	19	1337377	-0.4622
CN_791302	19	1338238	-0.819
CN_163766	19	1346084	-2.8455
CN_791324	19	1346632	-0.746
CN_793408	19	1357303	-0.5236
SNP_A-8516196	19	1357497	-0.9975
SNP_A-8363391	19	1357831	-0.9386
CN_793412	19	1357844	-1.1085
SNP_A-1892442	19	1360576	-1.4778
SNP_A-8315877	19	1364307	-1.0679
CN_163805	19	1365464	-0.6231
SNP_A-8468316	19	1367227	-1.1807
CN_793449	19	1374264	-0.6016
SNP_A-1875831	19	1374642	-1.1865
SNP_A-2071981	19	1375356	-1.3716
SNP_A-8548999	19	1376724	-0.4166
CN_793458	19	1377049	0.4764
CN_793469	19	1380430	-0.7041
CN_793476	19	1382577	-0.7041
CN_793480	19	1383259	-0.983
CN_163828	19	1383691	-0.5631
CN_793488	19	1386005	-0.561
CN_793491	19	1386397	-0.7041
SNP_A-8306914	19	1388321	-0.3219
CN_163838	19	1389780	-0.4778
CN_793501	19	1389816	-0.8455
CN_793502	19	1390205	-1.5742
CN_795593	19	1403394	-0.8861
SNP_A-8309319	19	1411327	-0.8284
SNP_A-8420175	19	1412986	-1.0326
CN_795631	19	1416216	-1.1516
CN_795659	19	1423673	-1.983
CN_795665	19	1425809	-0.7966
CN_795668	19	1426766	-0.9257
SNP_A-4303441	19	1427261	-0.7866
CN_795671	19	1428997	-0.9975
SNP_A-8291427	19	1434136	-0.7162
CN_795689	19	1439043	-0.5236
CN_795699	19	1441984	-1.0596
SNP_A-8604152	19	1442713	-1.1085
CN_795703	19	1442942	-0.3861
CN_795705	19	1444475	-1.6935
CN_797782	19	1448229	-1.3536
SNP_A-8509889	19	1451255	-0.611
CN_797812	19	1464417	-3.0679
CN_797811	19	1464551	-3.3815
CN_163950	19	1465069	-1.224
CN_797814	19	1465199	-0.9159
CN_797845	19	1476534	-0.5236
CN_797846	19	1476816	-0.708
CN_797898	19	1498520	-2.3309
CN_797907	19	1501359	-1.556
CN_799964	19	1504680	-0.9159
CN_799966	19	1505457	-1.2891
CN_799967	19	1505836	-0.8455
SNP_A-8632608	19	1507711	-1.398
CN_800004	19	1514363	-0.7773
SNP_A-8641125	19	1517293	-0.5236
SNP_A-8508227	19	1518202	-0.708
SNP_A-8476681	19	1525886	-0.8928
SNP_A-2293701	19	1530034	-0.0854
SNP_A-1869396	19	1535946	-1.2116
CN_767283	19	1537247	-0.684
CN_767286	19	1537455	-0.2016
SNP_A-8558923	19	1537468	-0.6935
CN_767297	19	1539781	-1.2891
SNP_A-8357213	19	1539783	-1.2891
CN_767305	19	1541224	-3.0261
CN_164089	19	1541731	-0.2116
CN_767323	19	1546923	-1.398
CN_767330	19	1548817	-0.8261
CN_164112	19	1563473	-0.161
SNP_A-1953897	19	1580190	-0.733
CN_769573	19	1580317	-1.9498
CN_164158	19	1589388	-2.398
SNP_A-8379478	19	1599870	-1.0641
CN_771686	19	1600598	-0.246
SNP_A-8448127	19	1613848	-0.8675
CN_164236	19	1626156	-1.0183
CN_773893	19	1636590	-0.7715
SNP_A-8676693	19	1638920	-0.5236
CN_773914	19	1641925	-0.4778
SNP_A-8589636	19	1642508	-0.0261
CN_773940	19	1648192	0.029
CN_776081	19	1676370	-0.8455
SNP_A-1916209	19	1676420	-0.2826
SNP_A-8347982	19	1676842	-0.7162
CN_776088	19	1680988	-0.6611
SNP_A-8459180	19	1681481	-1.4496
CN_776146	19	1695149	0.0614
CN_776173	19	1705250	-0.7646
CN_776195	19	1709258	-1.2016
CN_776198	19	1709554	-1.1085
SNP_A-8561021	19	1709659	-1.2116
CN_776201	19	1709947	-0.73
CN_778248	19	1712371	-0.73
SNP_A-8529645	19	1723464	0.406
SNP_A-8700268	19	1723571	-0.4711
CN_778283	19	1724426	-0.5236
SNP_A-8607814	19	1726234	0.0108
CN_778290	19	1728268	0.017
CN_778292	19	1728502	-0.6167
CN_778304	19	1731832	-1.1085
CN_778306	19	1732601	-1.1085
CN_778332	19	1741837	-0.7715
SNP_A-1812522	19	1770751	-1.0381
SNP_A-2301912	19	1773354	-0.5709
CN_780471	19	1773504	-0.3171
SNP_A-8308799	19	1778040	-2.3716
SNP_A-8474976	19	1782190	-1.4564
SNP_A-2213628	19	1783147	-0.0541
CN_780497	19	1784172	-0.4305
SNP_A-2304453	19	1784212	-0.6016
CN_780511	19	1791100	-0.9106
CN_780515	19	1793062	-1.1756
SNP_A-8476499	19	1794258	-0.8261
CN_780542	19	1805684	-0.8131
SNP_A-8530056	19	1808864	-0.9524
CN_780556	19	1809939	-0.2435
SNP_A-8405513	19	1817867	-1.9641
CN_782662	19	1829947	-0.5236
SNP_A-1937744	19	1837062	-1.8131
CN_164569	19	1838007	-0.578
CN_782720	19	1846112	-1.1085
SNP_A-4278137	19	1867913	-1.3309
SNP_A-2276374	19	1873721	-1.3495
SNP_A-2272718	19	1882763	-1.6528
CN_784850	19	1882799	-1.5236
SNP_A-8315442	19	1884553	-1.4305
SNP_A-8314345	19	1907480	-1.4778
SNP_A-8434477	19	1908424	0.2249
SNP_A-8596193	19	1909479	-0.9386
SNP_A-1796192	19	1916393	-1.7606
SNP_A-2273988	19	1916451	-0.8231
CN_786992	19	1921883	-1.009
CN_786993	19	1922107	-0.5236
CN_786994	19	1922553	-0.4305
SNP_A-8627286	19	1922600	-0.224
SNP_A-8594901	19	1922940	-0.809
CN_787005	19	1929105	-0.4711
SNP_A-2099949	19	1929170	-0.224
CN_787011	19	1931122	-1.1865
SNP_A-8296837	19	1931643	-1.2605
SNP_A-2233178	19	1933931	-1.161
CN_787022	19	1933961	-1.5742
CN_787024	19	1934344	-0.9021
CN_787030	19	1939741	-1.7866
CN_787039	19	1943800	-1.224
CN_787069	19	1949704	-0.6811
SNP_A-8676595	19	1961475	-0.2398
SNP_A-8709975	19	1961894	-0.2116
CN_789167	19	1965799	-0.009
SNP_A-2177587	19	1966233	-0.8928
CN_789182	19	1971431	-1.1383
SNP_A-8642850	19	1973733	-0.8455
CN_789186	19	1973768	-0.9257
CN_789195	19	1977791	-2.5236
CN_789210	19	1981809	-0.5236
SNP_A-4232916	19	1982000	-1.6935
CN_789212	19	1983477	-2.4305
SNP_A-4247519	19	1989868	-0.1825
SNP_A-4303166	19	1990310	-0.4411
CN_789281	19	2003982	-0.0471
CN_789285	19	2004270	-0.7252
CN_789294	19	2006238	-0.6811
SNP_A-8699208	19	2006286	-1.1674
SNP_A-8442420	19	2021910	-0.0596
CN_164867	19	2023687	-0.5236
CN_791397	19	2023853	-0.1085
CN_791411	19	2027583	0.029
CN_164894	19	2036591	-1.224
CN_791464	19	2036917	-0.4411
SNP_A-4252709	19	2048599	-0.3467
SNP_A-2072035	19	2053995	-0.2435
SNP_A-8504850	19	2058332	0.1545
CN_793613	19	2060090	-0.4711
SNP_A-8326134	19	2064620	0.0435
CN_795735	19	2080711	-0.7041
CN_795750	19	2084161	-0.071
CN_795795	19	2093024	-0.191
CN_795797	19	2093703	0.1963
SNP_A-8704397	19	2094593	0.0931
CN_795802	19	2094639	0.017
SNP_A-8595201	19	2106697	-0.398
SNP_A-2254029	19	2109158	0.2249
CN_797956	19	2113945	0.4764
CN_797958	19	2114285	0.2623
CN_797996	19	2123040	-0.3012
CN_798001	19	2124622	-0.9159
CN_798003	19	2125087	-0.746
CN_798004	19	2125739	-0.7606
CN_798026	19	2132348	-0.3815
SNP_A-8348082	19	2135821	-0.5742
SNP_A-8637770	19	2138655	-0.7937
CN_800119	19	2145005	-0.4166
SNP_A-8320973	19	2145006	-0.2605
SNP_A-8685306	19	2145451	-0.0305
SNP_A-8429125	19	2145482	0.2451
CN_800122	19	2145656	-0.0854
CN_800123	19	2145881	-0.6611
SNP_A-1913345	19	2146067	-0.6167
CN_800137	19	2149619	-1.2605
SNP_A-2138785	19	2149695	-0.7715
CN_800150	19	2152204	-0.1756
CN_800208	19	2166396	-0.224
SNP_A-4235641	19	2166995	-0.398
CN_800211	19	2167360	-0.1365
SNP_A-8494983	19	2169122	-0.246
SNP_A-8642827	19	2170765	-0.083
SNP_A-8685569	19	2170955	-0.5236
CN_800232	19	2171871	-0.2826
CN_767450	19	2182903	0.0239
SNP_A-2005857	19	2183176	-0.1085
CN_767459	19	2185834	-0.0326
CN_767460	19	2186196	-0.5236
SNP_A-2184188	19	2186238	-0.2016
SNP_A-8587427	19	2196964	-0.5742
SNP_A-2225124	19	2197735	-0.2298
CN_767518	19	2203722	0.1661
CN_767525	19	2204756	-0.5236
CN_767528	19	2205530	-0.3631
CN_767546	19	2208927	-0.083
CN_767547	19	2209446	-0.4829
CN_769632	19	2213015	-0.1365
CN_769634	19	2213180	0.0403
CN_769650	19	2218360	0.1545
SNP_A-1864283	19	2241328	-0.009
CN_769728	19	2241659	-1.071
CN_769731	19	2241953	-0.3861
SNP_A-4288255	19	2242830	-0.161
SNP_A-8656314	19	2244073	-0.4829
SNP_A-8629365	19	2244904	-0.733
SNP_A-8686410	19	2266822	-0.2398
SNP_A-1952581	19	2268056	0.4764
SNP_A-4249941	19	2283141	-0.1336
CN_774026	19	2284012	-0.2187
CN_774029	19	2284285	-0.8261
CN_165358	19	2299390	-0.3716
CN_774110	19	2311781	-0.6811
SNP_A-2301175	19	2318181	0.7659
CN_774149	19	2323014	0.181
CN_774150	19	2323963	-0.009
SNP_A-8309357	19	2326989	0.5967
CN_776211	19	2327991	0.2838
CN_776212	19	2328434	-0.7646
CN_776287	19	2350210	-0.4305
CN_776292	19	2350865	-0.7162
SNP_A-1807416	19	2354789	-0.1336
CN_778425	19	2376903	-0.0305
CN_778429	19	2377103	0.0614
CN_778442	19	2380105	0.4764
CN_778446	19	2380714	-0.4778
CN_778464	19	2384343	-0.4851
CN_778467	19	2385365	0.1963
CN_778487	19	2389786	-0.6611
SNP_A-8691958	19	2403566	0.3244
CN_780577	19	2405118	-1.2116
SNP_A-4217679	19	2409867	-0.3171
CN_780594	19	2410258	-0.1085
SNP_A-8378855	19	2412036	-1.1085
CN_165545	19	2412093	-0.4305
CN_780608	19	2412606	-0.0496
SNP_A-8682825	19	2412620	-0.0679
SNP_A-2023432	19	2413230	-0.5236
CN_780611	19	2414125	-0.3631
CN_780621	19	2416947	-1.224
CN_780634	19	2420096	-0.4305
CN_165567	19	2422593	0.0779
CN_780676	19	2427970	-0.3121
CN_780692	19	2431642	-0.083
SNP_A-8293095	19	2435458	-0.684
SNP_A-8511392	19	2438121	-0.4747
SNP_A-1837269	19	2440104	-0.9257
CN_782790	19	2444102	0.0458
CN_165593	19	2446815	-0.594
CN_782802	19	2448462	-0.1085
CN_165622	19	2460264	-0.746
CN_782858	19	2461272	-0.3171
CN_782882	19	2464571	-0.1481
CN_782884	19	2465173	-0.071
CN_782886	19	2465505	-0.2891
SNP_A-8649809	19	2466298	-1.398
CN_784939	19	2473199	-0.639
CN_784941	19	2473583	-1.568
CN_784961	19	2481692	-0.3631
CN_784962	19	2482763	0.0403
CN_784963	19	2483299	-0.5236
CN_784966	19	2487378	0.1869
CN_784968	19	2489979	-1.5236
SNP_A-8418305	19	2491588	-1.224
CN_784969	19	2491620	-0.3861
SNP_A-1858857	19	2491660	-0.5236
SNP_A-8627405	19	2491936	-0.9106
CN_784970	19	2492584	-1.639
SNP_A-8696795	19	2494247	0.2838
SNP_A-2216089	19	2496664	-0.4805
SNP_A-8643748	19	2498449	0.4024
CN_784971	19	2499529	-0.4081
SNP_A-8621626	19	2503630	-0.5236
CN_784972	19	2504976	-0.2016
CN_784973	19	2505568	-0.73
SNP_A-2252431	19	2507030	-2.611
CN_784974	19	2507043	-2.611
CN_784975	19	2507999	-0.009
CN_784976	19	2509357	-0.1865
SNP_A-8654064	19	2512797	-0.5877
SNP_A-8351224	19	2514223	-1.568
SNP_A-2251781	19	2514567	-0.746
CN_784977	19	2515298	-0.3121
SNP_A-8315063	19	2515876	-0.5236
CN_784978	19	2516300	0.0779
CN_784979	19	2519449	-0.0641
CN_784980	19	2519855	0.0435
SNP_A-2300069	19	2523662	-1.2605
SNP_A-1856527	19	2523783	-0.4805
SNP_A-8536165	19	2524687	-1.2605
CN_784981	19	2531793	-1.2784
SNP_A-8654298	19	2532727	-0.246
SNP_A-8360740	19	2533618	-0.0183
CN_784982	19	2535731	-0.6704
CN_784983	19	2536863	-0.4747
CN_784984	19	2538168	0.0894
SNP_A-2099865	19	2538670	-1.1481
CN_784985	19	2538715	-0.8455
CN_784986	19	2546170	-0.594
CN_165652	19	2549050	-0.8455
SNP_A-8596269	19	2549203	-1.5236
SNP_A-8468491	19	2550854	-0.4805
SNP_A-2140075	19	2551472	-0.2784
CN_784987	19	2551486	-0.1825
CN_784988	19	2552051	-0.5575
SNP_A-8687624	19	2557612	-0.1825
CN_784989	19	2557632	-0.6704
CN_165653	19	2558656	0.181
CN_784990	19	2559102	-0.5236
SNP_A-2268377	19	2559843	-0.5236
CN_784991	19	2568277	-0.1312
CN_784992	19	2569047	-0.0738
SNP_A-8702770	19	2569244	0.5544
CN_165656	19	2570671	-0.7351
CN_165657	19	2572371	-0.9907
SNP_A-2184688	19	2572384	-1.0154
SNP_A-2268920	19	2572668	-1.224
SNP_A-8634755	19	2573902	-0.4305
CN_784995	19	2581839	-0.1825
SNP_A-2259034	19	2582156	-0.398
CN_784996	19	2582552	-0.7162
SNP_A-8352399	19	2591774	0.2838
SNP_A-8330618	19	2592252	-0.1756
SNP_A-8705100	19	2596033	0.029
SNP_A-8397688	19	2602437	-0.5236
SNP_A-1849131	19	2619145	-0.0381
SNP_A-2202754	19	2621195	-0.4622
CN_785001	19	2627634	-0.3815
SNP_A-8431347	19	2627637	-0.5236
SNP_A-8312148	19	2630327	-0.6756
CN_785002	19	2631330	-0.2187
CN_785003	19	2638270	-0.5236
SNP_A-1794215	19	2642211	-0.3716
CN_785004	19	2644473	-0.009
CN_785005	19	2644887	-0.4411
SNP_A-8304936	19	2645192	-1.2116
CN_785006	19	2646820	-1.0154
SNP_A-8321478	19	2646942	-0.1085
CN_785007	19	2648184	-0.6305
CN_785008	19	2652288	-0.3078
CN_785009	19	2652917	-0.9257
CN_785012	19	2660454	-0.1558
CN_785013	19	2663833	-0.5236
SNP_A-1880401	19	2663851	-0.4361
SNP_A-8411133	19	2668613	-0.1825
SNP_A-8504682	19	2676781	0.0614
CN_785014	19	2678114	0.0614
SNP_A-8297063	19	2678888	-0.2605
CN_785015	19	2681010	-0.191
SNP_A-8328389	19	2681087	-0.6704
CN_785016	19	2681103	-0.611
SNP_A-8415025	19	2686647	-0.4305
CN_785017	19	2692868	-0.5236
CN_785018	19	2696475	0.2354
CN_165675	19	2697272	-0.3631
CN_785019	19	2697648	-0.0761
CN_785020	19	2704949	0.2285
CN_785021	19	2705605	-0.224
CN_785022	19	2706798	-0.4049
CN_785023	19	2709435	-0.758
CN_785024	19	2709985	-0.1825
CN_785025	19	2710596	-0.578
SNP_A-2116849	19	2711415	-0.2736
CN_785026	19	2715630	-0.8861
SNP_A-1914276	19	2728579	-0.5236
CN_785027	19	2733957	-0.5236
CN_785028	19	2734193	-0.7162
CN_785029	19	2741142	-1.0183
CN_165682	19	2741606	-0.8231
CN_785030	19	2743904	-0.4532
SNP_A-8302371	19	2748357	0.6284
SNP_A-4259059	19	2754550	-1.224
SNP_A-8513471	19	2754842	0.2134
CN_785031	19	2755667	-0.983
SNP_A-2005858	19	2756185	-0.993
CN_785032	19	2759486	0.2249
SNP_A-8462318	19	2760718	-0.4564
SNP_A-8359744	19	2763225	-0.4456
CN_165684	19	2766093	-0.5654
CN_785033	19	2766386	-1.0154
CN_785034	19	2774643	0.2354
SNP_A-8479104	19	2779136	0.1072
CN_785035	19	2779227	0.0979
SNP_A-8448220	19	2780343	0.0805
SNP_A-8650492	19	2782451	-0.4496
SNP_A-8612631	19	2785202	-0.0541
CN_785036	19	2790145	-0.5742
CN_785037	19	2793308	-0.6231
CN_785038	19	2794846	-0.86240000000000006
CN_785039	19	2795533	0.3561
SNP_A-8591861	19	2796023	-0.0471
SNP_A-8514179	19	2799981	0.0025
CN_785040	19	2803149	-1.071
SNP_A-8676118	19	2803582	-1.1085
CN_785041	19	2806328	-0.7162
CN_785042	19	2809588	-0.578
CN_785043	19	2809808	0.4764
CN_165697	19	2811353	-0.1558
SNP_A-4278466	19	2823271	0.6629
SNP_A-8614776	19	2823695	0.3129
CN_785047	19	2829761	0.9459
SNP_A-8678976	19	2830346	-1.1085
CN_785048	19	2831251	-0.6811
CN_785049	19	2832569	0.2394
SNP_A-1855864	19	2833433	0.4175
CN_785050	19	2833506	0.2623
SNP_A-8681803	19	2833564	-0.3631
SNP_A-8425283	19	2833578	-0.246
SNP_A-8526062	19	2836662	-0.487
SNP_A-2080429	19	2836770	-0.7112
CN_785052	19	2836847	-0.1312
CN_785053	19	2836958	-0.2605
CN_785054	19	2838136	-0.2605
CN_787110	19	2845152	-0.1085
SNP_A-8413159	19	2846085	0.1439
